时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2012-02-06,一	14.06		14.31		13.85		14.18		+0.35%		3.26%		6,467,588	94,517,378	10.10		5170		
2012-02-07,二	13.99		14.05		13.70		13.83		-2.47%		2.47%		4,360,320	62,672,813	6.81		3713		
2012-02-08,三	13.85		14.08		13.65		14.01		+1.30%		3.07%		4,356,390	62,663,465	6.80		3862		
2012-02-09,四	13.95		14.19		13.83		14.00		-0.07%		2.61%		4,867,540	70,803,556	7.60		3812		
2012-02-10,五	13.99		14.19		13.89		14.16		+1.14%		2.11%		5,940,088	86,500,777	9.28		4485		
2012-02-13,一	14.09		14.44		13.96		14.25		+0.64%		3.43%		6,238,254	91,836,647	9.74		4513		
2012-02-14,二	14.20		14.45		14.06		14.15		-0.70%		2.74%		5,006,426	73,683,511	7.82		3987		
2012-02-15,三	14.13		14.20		13.94		14.11		-0.28%		1.87%		4,084,904	59,552,574	6.38		3153		
2012-02-16,四	14.11		14.29		14.01		14.21		+0.71%		1.99%		3,973,624	58,295,063	6.21		3219		
2012-02-17,五	14.17		14.40		13.97		14.07		-0.99%		3.06%		4,048,638	59,190,473	6.32		3111		
2012-02-20,一	14.17		14.28		14.04		14.07		+0.00%		1.67%		2,939,880	43,028,819	4.59		2509		
2012-02-21,二	14.07		14.14		13.86		14.08		+0.07%		2.03%		3,332,294	48,284,996	5.20		2821		
2012-02-22,三	14.07		14.65		14.03		14.52		+3.13%		4.37%		8,088,924	120,409,751	12.63		6439		
2012-02-23,四	14.47		14.69		14.30		14.50		-0.14%		2.65%		4,973,698	74,576,092	7.77		4016		
2012-02-24,五	14.60		15.18		14.47		14.96		+3.17%		4.93%		7,837,596	119,816,316	12.24		6218		
2012-02-27,一	15.10		15.96		14.85		15.12		+1.07%		7.42%		6,788,906	107,413,603	10.60		5509		
2012-02-28,二	15.12		15.43		14.67		15.18		+0.40%		5.06%		4,941,028	77,160,781	7.72		4493		
2012-02-29,三	15.18		15.34		14.74		14.74		-2.90%		3.99%		4,004,154	61,778,856	6.25		3749		
2012-03-01,四	14.73		14.93		14.66		14.77		+0.20%		1.83%		2,226,016	34,052,494	3.48		2002		
2012-03-02,五	14.77		14.98		14.77		14.97		+1.35%		1.39%		2,543,316	39,171,181	3.97		2201		
2012-03-05,一	15.00		15.15		14.97		15.03		+0.40%		1.20%		3,353,826	52,178,149	5.24		2672		
2012-03-06,二	15.03		15.03		14.48		14.54		-3.26%		3.63%		3,633,302	55,039,403	5.67		3318		
2012-03-07,三	14.44		14.77		14.28		14.39		-1.03%		3.37%		2,917,536	43,962,694	4.56		2573		
2012-03-08,四	14.37		14.71		14.37		14.61		+1.53%		2.36%		2,113,576	31,968,179	3.30		1934		
2012-03-09,五	14.76		15.13		14.61		15.01		+2.74%		3.56%		3,802,016	58,784,666	5.94		3292		
2012-03-12,一	15.05		15.25		14.84		15.08		+0.47%		2.73%		3,252,912	50,564,680	5.08		2605		
2012-03-13,二	15.00		15.24		14.85		15.23		+0.99%		2.59%		3,526,306	54,909,746	5.51		2709		
2012-03-14,三	15.23		15.89		14.90		14.96		-1.77%		6.50%		8,743,940	139,649,160	13.66		6972		
2012-03-15,四	14.91		15.25		14.61		14.96		+0.00%		4.28%		4,776,728	73,551,577	7.46		3456		
2012-03-16,五	15.00		15.84		15.00		15.81		+5.68%		5.58%		7,416,210	118,706,871	11.58		6314		
2012-03-19,一	15.87		17.44		15.87		17.44		+10.31%		9.96%		12,957,420	222,043,590	20.24		9304		
2012-03-20,二	17.90		17.92		17.08		17.09		-2.01%		4.82%		15,838,648	285,766,250	24.74		12141		
