序号	code	name
1	600460	士兰微
2	600310	桂东电力
3	002510	天汽模
4	600433	冠豪高新
5	000795	英洛华
6	600525	长园集团
7	002297	博云新材
8	300088	长信科技
9	300222	科大智能
10	603339	四方冷链
11	300134	大富科技
12	002664	信质电机
13	000990	诚志股份
14	002057	中钢天源
15	300368	汇金股份
16	300187	永清环保
17	002180	艾派克
18	300373	扬杰科技
19	300127	银河磁体
20	300508	维宏股份
21	002326	永太科技
22	002786	银宝山新
23	300259	新天科技
24	300451	创业软件
25	300467	迅游科技
26	603528	多伦科技
27	002715	登云股份
28	300499	高澜股份
29	603996	中新科技
30	002782	可立克
31	002787	华源包装
32	300405	科隆精化
33	600639	浦东金桥
34	300386	飞天诚信
35	603959	百利科技
36	002796	世嘉科技
37	600468	百利电气
38	300359	全通教育
39	002384	东山精密
40	601958	金钼股份
41	000688	建新矿业
42	603779	威龙股份
43	002792	通宇通讯
44	300083	劲胜精密
45	300469	信息发展
46	300429	强力新材
47	000810	创维数字
48	002050	三花股份
49	002189	利达光电
50	600570	恒生电子
51	300491	通合科技
52	002672	东江环保
53	000727	华东科技
54	601208	东材科技
55	600213	亚星客车
56	002048	宁波华翔
57	300036	超图软件
58	600983	惠而浦
59	300474	景嘉微
60	300494	盛天网络
61	603399	新华龙
62	002556	辉隆股份
63	002151	北斗星通
64	002427	尤夫股份
65	300490	华自科技
66	300507	苏奥传感
67	600206	有研新材
68	600114	东睦股份
69	002514	宝馨科技
70	002113	天润控股
71	300389	艾比森
72	300346	南大光电
73	002226	江南化工
74	002742	三圣特材
75	300395	菲利华
76	300217	东方电热
77	002265	西仪股份
78	300128	锦富新材
79	002111	威海广泰
80	000823	超声电子
81	300285	国瓷材料
82	300456	耐威科技
83	300502	新易盛
84	300342	天银机电
85	300493	润欣科技
86	000514	渝 开 发
87	002579	中京电子
88	002724	海洋王
89	002618	丹邦科技
90	002635	安洁科技
91	002468	艾迪西
92	600869	智慧能源
93	603198	迎驾贡酒
94	000988	华工科技
95	603901	永创智能
96	300468	四方精创
97	002444	巨星科技
98	000591	太阳能
99	600101	明星电力
100	000517	荣安地产
101	002273	水晶光电
102	600648	外高桥
103	600129	太极集团
104	002454	松芝股份
105	600479	千金药业
106	300501	海顺新材
107	603866	桃李面包
108	002546	新联电子
109	600260	凯乐科技
110	000910	大亚科技
111	002224	三 力 士
112	002449	国星光电
113	600446	XD金证股
114	000798	中水渔业
115	300424	航新科技
116	002203	海亮股份
117	300510	金冠电气
118	000815	美利纸业
119	600699	均胜电子
120	300101	振芯科技
121	002689	远大智能
122	002781	奇信股份
123	600993	马应龙
124	300235	方直科技
125	000733	振华科技
126	600279	重庆港九
127	600602	仪电电子
128	300011	鼎汉技术
129	300433	蓝思科技
130	600552	凯盛科技
131	600677	航天通信
132	002459	天业通联
133	002247	帝龙新材
134	002350	北京科锐
135	300484	蓝海华腾
136	300509	新美星
137	600452	涪陵电力
138	603588	DR高能环
139	000541	佛山照明
140	002583	海能达
141	600335	DR国机汽
142	600235	民丰特纸
143	300149	量子高科
144	603002	宏昌电子
145	600733	S前锋
146	000506	中润资源
147	603766	隆鑫通用
148	600110	诺德股份
149	300414	中光防雷
150	000158	常山股份
151	600728	佳都科技
152	603822	嘉澳环保
153	300408	三环集团
154	002484	江海股份
155	002396	星网锐捷
156	002536	西泵股份
157	600160	巨化股份
158	002148	北纬通信
159	600596	新安股份
160	300497	富祥股份
161	300065	海兰信
162	000862	银星能源
163	300143	星河生物
164	300243	瑞丰高材
165	002509	天广消防
166	600058	五矿发展
167	600338	西藏珠峰
168	300506	名家汇
169	002049	同方国芯
170	300131	英唐智控
171	300264	佳创视讯
172	300458	全志科技
173	002165	红 宝 丽
174	002502	骅威文化
175	002777	久远银海
176	300130	新国都
177	002708	光洋股份
178	002263	大 东 南
179	300477	合纵科技
180	002217	合力泰
181	601311	骆驼股份
182	300377	赢时胜
183	300370	安控科技
