时间	开盘	最高	最低	收盘	总手	金额	换手%	avg5	avg10	avg20	avg30	avg60
20120508,二	13.83	14.05	13.75	13.8	3908282	56194919	6.1	13.46	13.2	13.83	14.52	14.61
20120509,三	13.75	13.75	13.25	13.35	2099056	29277246	3.28	13.53	13.16	13.75	14.4	14.6
20120510,四	13.32	13.83	13.26	13.54	2042052	28817254	3.19	13.61	13.23	13.7	14.29	14.59
20120511,五	13.59	13.68	13.38	13.55	1564074	21878816	2.44	13.64	13.32	13.63	14.18	14.58
20120514,一	13.69	13.73	13.5	13.52	1603726	22612864	2.5	13.55	13.41	13.57	14.09	14.57
20120515,二	13.42	13.46	13.18	13.46	1600640	22036516	2.5	13.48	13.47	13.49	14.0	14.56
20120516,三	13.37	13.4	13.06	13.1	1310658	17970649	2.05	13.43	13.48	13.38	13.89	14.54
20120517,四	13.0	13.19	12.9	13.1	1624636	22012344	2.54	13.35	13.48	13.34	13.82	14.53
20120518,五	13.0	13.0	12.77	12.81	1276394	17055313	1.99	13.2	13.42	13.3	13.75	14.5
20120521,一	12.78	13.19	12.72	13.16	1972690	26749020	3.08	13.13	13.34	13.25	13.71	14.49
20120522,二	13.12	13.25	13.06	13.16	1308966	17870333	2.04	13.07	13.28	13.24	13.64	14.47
20120523,三	13.25	13.72	13.17	13.45	2554470	35770081	3.99	13.14	13.29	13.22	13.59	14.46
20120524,四	13.45	13.56	13.29	13.33	1382782	19265968	2.16	13.18	13.26	13.25	13.55	14.44
20120525,五	13.43	13.43	13.0	13.09	1261350	17241840	1.97	13.24	13.22	13.27	13.49	14.42
20120528,一	12.98	13.22	12.88	13.2	931764	12646398	1.46	13.25	13.19	13.3	13.44	14.39
20120529,二	13.25	13.35	13.11	13.33	1291630	17752633	2.02	13.28	13.17	13.32	13.38	14.36
20120530,三	13.34	13.44	13.23	13.3	1390216	19212841	2.17	13.25	13.19	13.34	13.32	14.33
20120531,四	13.23	13.41	13.06	13.28	1746970	23934489	2.73	13.24	13.21	13.34	13.3	14.3
20120601,五	13.35	13.4	13.26	13.35	1077268	14889356	1.68	13.29	13.27	13.34	13.29	14.28
20120604,一	13.3	13.7	13.15	13.49	3473114	48675169	5.42	13.35	13.3	13.32	13.27	14.26
20120605,二	13.59	13.61	13.36	13.46	1719464	23993632	2.69	13.38	13.33	13.3	13.27	14.23
20120606,三	13.46	13.5	12.81	12.89	2984642	40451057	4.66	13.29	13.27	13.28	13.24	14.2
20120607,四	13.09	13.1	12.59	12.77	2413324	32037475	3.77	13.19	13.22	13.24	13.24	14.17
20120608,五	12.85	12.85	12.65	12.83	1039324	13756683	1.62	13.09	13.19	13.2	13.24	14.14
20120611,一	13.05	13.88	13.03	13.71	7293168	102769713	11.39	13.13	13.24	13.21	13.28	14.12
20120612,二	13.6	13.77	13.45	13.73	2625584	37130391	4.1	13.19	13.28	13.23	13.31	14.1
20120613,三	13.59	13.78	13.55	13.76	2865102	40689503	4.47	13.36	13.33	13.26	13.33	14.08
20120614,四	13.75	14.33	13.7	14.15	6772696	99070767	10.58	13.64	13.41	13.31	13.37	14.06
20120615,五	14.16	14.45	13.85	14.0	5681810	82697376	8.87	13.87	13.48	13.37	13.39	14.05
20120618,一	13.87	13.88	13.16	13.33	3770893	50594210	2.94	13.79	13.46	13.38	13.37	14.01
